,teamId,min_bins,teamColor,goals,total_goals,share,xG,total_xG,xG_share,teamName
45,9823,"(45, 60]",#a00028,13,93,0.13978494623655913,18.142724987847092,98.43821908290148,0.184305701148127,Bayern München
46,9823,"(60, 75]",#a00028,16,93,0.17204301075268819,16.27862955905336,98.43821908290148,0.16536899702892863,Bayern München
47,9823,"(75, 90]",#a00028,16,93,0.17204301075268819,19.46013896217044,98.43821908290148,0.19768885645708137,Bayern München
48,9847,"(0, 15]",#005090,11,89,0.12359550561797752,11.133770043578721,86.4496203959728,0.12878911431399856,Paris Saint-Germain
49,9847,"(15, 30]",#005090,17,89,0.19101123595505617,14.283410794425109,86.4496203959728,0.16522236568537313,Paris Saint-Germain
50,9847,"(30, 45]",#005090,13,89,0.14606741573033707,13.669506660981902,86.4496203959728,0.1581210721154154,Paris Saint-Germain
51,9847,"(45, 60]",#005090,9,89,0.10112359550561797,12.984160682097933,86.4496203959728,0.1501933799434334,Paris Saint-Germain
52,9847,"(60, 75]",#005090,21,89,0.23595505617977527,19.993812664072905,86.4496203959728,0.23127704404592508,Paris Saint-Germain
53,9847,"(75, 90]",#005090,18,89,0.20224719101123595,14.384959550816223,86.4496203959728,0.16639702389585434,Paris Saint-Germain
54,9925,"(0, 15]",#007838,11,91,0.12087912087912088,14.631325728384706,101.41175128681188,0.1442764328860125,Celtic
55,9925,"(15, 30]",#007838,25,91,0.27472527472527475,18.192448761775665,101.41175128681188,0.17939191988040845,Celtic
56,9925,"(30, 45]",#007838,17,91,0.18681318681318682,19.861202733893844,101.41175128681188,0.1958471526413399,Celtic
57,9925,"(45, 60]",#007838,11,91,0.12087912087912088,11.845664815827117,101.41175128681188,0.11680761514832048,Celtic
58,9925,"(60, 75]",#007838,11,91,0.12087912087912088,14.028904216827943,101.41175128681188,0.1383360807679133,Celtic
59,9925,"(75, 90]",#007838,16,91,0.17582417582417584,22.8522050301026,101.41175128681188,0.22534079867600532,Celtic
60,10013,"(0, 15]",#0C2044,10,77,0.12987012987012986,10.534253860827164,83.36350989952004,0.12636528708453307,Salzburg
61,10013,"(15, 30]",#0C2044,11,77,0.14285714285714285,10.705091490747238,83.36350989952004,0.12841459655010126,Salzburg
62,10013,"(30, 45]",#0C2044,8,77,0.1038961038961039,12.65869803628696,83.36350989952004,0.15184938891782246,Salzburg
63,10013,"(45, 60]",#0C2044,8,77,0.1038961038961039,11.35619459820402,83.36350989952004,0.13622500554369535,Salzburg
64,10013,"(60, 75]",#0C2044,9,77,0.11688311688311688,15.534295812577362,83.36350989952004,0.18634407106060202,Salzburg
65,10013,"(75, 90]",#0C2044,31,77,0.4025974025974026,22.57497610087729,83.36350989952004,0.2708016508432458,Salzburg
66,10243,"(0, 15]",#18B8E8,17,76,0.2236842105263158,9.010412659216126,62.74916922732339,0.1435941347139405,FC Zürich
67,10243,"(15, 30]",#18B8E8,8,76,0.10526315789473684,8.654520062383257,62.74916922732339,0.1379224644557485,FC Zürich
68,10243,"(30, 45]",#18B8E8,10,76,0.13157894736842105,9.97649488438652,62.74916922732339,0.15899007121902056,FC Zürich
69,10243,"(45, 60]",#18B8E8,9,76,0.11842105263157894,8.965290831812421,62.74916922732339,0.14287505224704378,FC Zürich
70,10243,"(60, 75]",#18B8E8,13,76,0.17105263157894737,8.969754498329468,62.74916922732339,0.1429461873165915,FC Zürich
71,10243,"(75, 90]",#18B8E8,19,76,0.25,17.172696291195603,62.74916922732339,0.2736720900476552,FC Zürich
