,Pos,Age,Starts,Player,urls,scouting_url,match_logs,position_group
10,DF,21.0,15,Ian Maatsen,https://fbref.com/en/players/cab9634e/Ian-Maatsen,https://fbref.com/en/players/cab9634e/scout/365_m1/Ian-Maatsen-Scouting-Report,https://fbref.com/en/players/cab9634e/matchlogs/2022-2023/summary/Ian-Maatsen-Match-Logs,Defender
11,DF,27.0,14,Niklas Sule,https://fbref.com/en/players/e33c06cf/Niklas-Sule,https://fbref.com/en/players/e33c06cf/scout/365_m1/Niklas-Sule-Scouting-Report,https://fbref.com/en/players/e33c06cf/matchlogs/2022-2023/summary/Niklas-Sule-Match-Logs,Defender
12,"FW,MF",18.0,14,Jamie Bynoe Gittens,https://fbref.com/en/players/10745192/Jamie-Bynoe-Gittens,https://fbref.com/en/players/10745192/scout/365_m1/Jamie-Bynoe-Gittens-Scouting-Report,https://fbref.com/en/players/10745192/matchlogs/2022-2023/summary/Jamie-Bynoe-Gittens-Match-Logs,Attacking Midfielders
13,MF,25.0,13,Salih Ozcan,https://fbref.com/en/players/15413fa5/Salih-Ozcan,https://fbref.com/en/players/15413fa5/scout/365_m1/Salih-Ozcan-Scouting-Report,https://fbref.com/en/players/15413fa5/matchlogs/2022-2023/summary/Salih-Ozcan-Match-Logs,Central Midfielders
14,DF,28.0,12,Marius Wolf,https://fbref.com/en/players/fa661778/Marius-Wolf,https://fbref.com/en/players/fa661778/scout/365_m1/Marius-Wolf-Scouting-Report,https://fbref.com/en/players/fa661778/matchlogs/2022-2023/summary/Marius-Wolf-Match-Logs,Defender
15,DF,28.0,11,Ramy Bensebaini,https://fbref.com/en/players/378825c7/Ramy-Bensebaini,https://fbref.com/en/players/378825c7/scout/365_m1/Ramy-Bensebaini-Scouting-Report,https://fbref.com/en/players/378825c7/matchlogs/2022-2023/summary/Ramy-Bensebaini-Match-Logs,Defender
16,"FW,MF",23.0,11,Jadon Sancho,https://fbref.com/en/players/dbf053da/Jadon-Sancho,https://fbref.com/en/players/dbf053da/scout/365_m1/Jadon-Sancho-Scouting-Report,https://fbref.com/en/players/dbf053da/matchlogs/2022-2023/summary/Jadon-Sancho-Match-Logs,Attacking Midfielders
17,MF,22.0,10,Felix Nmecha,https://fbref.com/en/players/091c86e2/Felix-Nmecha,https://fbref.com/en/players/091c86e2/scout/365_m1/Felix-Nmecha-Scouting-Report,https://fbref.com/en/players/091c86e2/matchlogs/2022-2023/summary/Felix-Nmecha-Match-Logs,Central Midfielders
18,"FW,MF",21.0,10,Karim Adeyemi,https://fbref.com/en/players/501055d8/Karim-Adeyemi,https://fbref.com/en/players/501055d8/scout/365_m1/Karim-Adeyemi-Scouting-Report,https://fbref.com/en/players/501055d8/matchlogs/2022-2023/summary/Karim-Adeyemi-Match-Logs,Attacking Midfielders
19,GK,32.0,7,Alexander Meyer,https://fbref.com/en/players/b56dd813/Alexander-Meyer,https://fbref.com/en/players/b56dd813/scout/365_m1/Alexander-Meyer-Scouting-Report,https://fbref.com/en/players/b56dd813/matchlogs/2022-2023/summary/Alexander-Meyer-Match-Logs,GK
20,DF,31.0,7,Thomas Meunier,https://fbref.com/en/players/e162b013/Thomas-Meunier,https://fbref.com/en/players/e162b013/scout/365_m1/Thomas-Meunier-Scouting-Report,https://fbref.com/en/players/e162b013/matchlogs/2022-2023/summary/Thomas-Meunier-Match-Logs,Defender
