,Age,Player,Pos,Starts,Unnamed: 0,match_logs,position_group,scouting_url,urls
1307,30.79178082191781,Kevin Lasagna,"FW,MF",17,8.0,https://fbref.com/en/players/09538fdb/matchlogs/2022-2023/summary/Kevin-Lasagna-Match-Logs,Attacking Midfielders,https://fbref.com/en/players/09538fdb/scout/365_m1/Kevin-Lasagna-Scouting-Report,https://fbref.com/en/players/09538fdb/Kevin-Lasagna
1308,27.641095890410963,Giangiacomo Magnani,DF,17,9.0,https://fbref.com/en/players/cce9f582/matchlogs/2022-2023/summary/Giangiacomo-Magnani-Match-Logs,Defender,https://fbref.com/en/players/cce9f582/scout/365_m1/Giangiacomo-Magnani-Scouting-Report,https://fbref.com/en/players/cce9f582/Giangiacomo-Magnani
1309,21.02191780821918,Josh Doig,DF,15,10.0,https://fbref.com/en/players/2f69d881/matchlogs/2022-2023/summary/Josh-Doig-Match-Logs,Defender,https://fbref.com/en/players/2f69d881/scout/365_m1/Josh-Doig-Scouting-Report,https://fbref.com/en/players/2f69d881/Josh-Doig
1310,28.67945205479452,Thomas Henry,FW,13,11.0,https://fbref.com/en/players/9ef42479/matchlogs/2022-2023/summary/Thomas-Henry-Match-Logs,Forwards,https://fbref.com/en/players/9ef42479/scout/365_m1/Thomas-Henry-Scouting-Report,https://fbref.com/en/players/9ef42479/Thomas-Henry
1311,33.010958904109586,Milan Djuric,FW,12,12.0,https://fbref.com/en/players/405f6586/matchlogs/2022-2023/summary/Milan-Djuric-Match-Logs,Forwards,https://fbref.com/en/players/405f6586/scout/365_m1/Milan-Djuric-Scouting-Report,https://fbref.com/en/players/405f6586/Milan-Djuric
1312,30.871232876712327,Simone Verdi,"MF,FW",12,13.0,https://fbref.com/en/players/0375723e/matchlogs/2022-2023/summary/Simone-Verdi-Match-Logs,Attacking Midfielders,https://fbref.com/en/players/0375723e/scout/365_m1/Simone-Verdi-Scouting-Report,https://fbref.com/en/players/0375723e/Simone-Verdi
1313,37.041095890410965,Miguel Veloso,MF,12,14.0,https://fbref.com/en/players/ab1ca213/matchlogs/2022-2023/summary/Miguel-Veloso-Match-Logs,Central Midfielders,https://fbref.com/en/players/ab1ca213/scout/365_m1/Miguel-Veloso-Scouting-Report,https://fbref.com/en/players/ab1ca213/Miguel-Veloso
1314,19.40821917808219,Diego Coppola,DF,11,15.0,https://fbref.com/en/players/22ae86f9/matchlogs/2022-2023/summary/Diego-Coppola-Match-Logs,Defender,https://fbref.com/en/players/22ae86f9/scout/365_m1/Diego-Coppola-Scouting-Report,https://fbref.com/en/players/22ae86f9/Diego-Coppola
1315,28.471232876712328,Ondrej Duda,MF,11,16.0,https://fbref.com/en/players/79ca3e23/matchlogs/2022-2023/summary/Ondrej-Duda-Match-Logs,Central Midfielders,https://fbref.com/en/players/79ca3e23/scout/365_m1/Ondrej-Duda-Scouting-Report,https://fbref.com/en/players/79ca3e23/Ondrej-Duda
1316,28.775342465753425,Koray Gunter,DF,11,17.0,https://fbref.com/en/players/f1f1f238/matchlogs/2022-2023/summary/Koray-Gunter-Match-Logs,Defender,https://fbref.com/en/players/f1f1f238/scout/365_m1/Koray-Gunter-Scouting-Report,https://fbref.com/en/players/f1f1f238/Koray-Gunter
