,Player,Nation,Pos,Age,new_pound_value
16,Morgan Rogers,eng ENG,"MF,FW",22.0,75000
17,Ezri Konsa,eng ENG,DF,26.0,75000
18,Jacob Ramsey,eng ENG,FW,23.0,70000
19,Robin Olsen,se SWE,GK,34.0,50000
20,Jaden Philogene Bidace,eng ENG,FW,22.0,40000
21,Kosta Nedeljkovic,,RB,19.0,20000
22,Kortney Hause,eng ENG,CB,29.0,10000
23,Joe Gauci,,GK,24.0,10000
24,Kaine Kesler,,RB,22.0,10000
25,Lino Sousa,,LB,20.0,10000
26,Lamare Bogarde,,CB,20.0,8000
0,Casemiro,br BRA,MF,32.0,350000
1,Marcus Rashford,eng ENG,"FW,MF",26.0,300000
2,Bruno Fernandes,pt POR,MF,29.0,300000
3,Mason Mount,eng ENG,MF,25.0,250000
4,Antony,br BRA,"DF,MF",24.0,200000
5,Matthijs de Ligt,nl NED,DF,24.0,195000
6,Harry Maguire,eng ENG,DF,31.0,190000
7,Christian Eriksen,dk DEN,MF,32.0,150000
8,Jadon Sancho,eng ENG,"FW,MF",24.0,150000
9,Luke Shaw,eng ENG,DF,29.0,150000
10,Noussair Mazraoui,ma MAR,DF,26.0,135000
11,André Onana,cm CMR,GK,28.0,120000
12,Lisandro Martínez,ar ARG,DF,26.0,120000
13,Victor Lindelöf,se SWE,DF,30.0,120000
14,Manuel Ugarte,,DM,23.0,120000
15,Leny Yoro,,CB,18.0,115000
16,Joshua Zirkzee,nl NED,"FW,MF",23.0,105000
17,Rasmus Højlund,dk DEN,FW,21.0,85000
18,Diogo Dalot,pt POR,DF,25.0,85000
19,Tyrell Malacia,nl NED,DF,24.0,75000
20,Jonny Evans,nir NIR,DF,36.0,65000
21,Alejandro Garnacho,,LW,20.0,50000
22,Tom Heaton,eng ENG,GK,38.0,45000
23,Altay Bayındır,tr TUR,GK,26.0,35000
24,Amad Diallo,ci CIV,"MF,FW",22.0,28846
25,Kobbie Mainoo,,CM,19.0,20000
26,Toby Collyer,,DM,20.0,5000
27,Daniel Gore,,CM,19.0,5000
