,Player,Nation,Pos,Age,new_pound_value
23,Enso González,,LW,20.0,12500
24,Tommy Doyle,eng ENG,MF,22.0,10000
25,Tom King,wls WAL,GK,29.0,10000
26,Rayan Aït-Nouri,dz ALG,DF,23.0,10000
27,Hugo Bueno,,LB,22.0,10000
28,Yerson Mosquera,co COL,DF,23.0,8000
29,Bastien Meupiyou,,CB,18.0,8000
30,Joe Hodge,,DM,22.0,5000
31,Chem Campbell,wls WAL,AM,22.0,2500
0,Bernd Leno,de GER,GK,32.0,130000
1,Reiss Nelson,eng ENG,FW,24.0,100000
2,Raúl Jiménez,mx MEX,FW,33.0,100000
3,Joachim Andersen,dk DEN,DF,28.0,90000
4,Willian,br BRA,"FW,MF",35.0,90000
5,Alex Iwobi,ng NGA,"FW,MF",28.0,80000
6,Issa Diop,fr FRA,DF,27.0,70000
7,Adama Traoré,es ESP,"FW,MF",28.0,65000
8,Timothy Castagne,be BEL,DF,28.0,65000
9,Saša Lukić,rs SRB,MF,27.0,63000
10,Emile Smith Rowe,eng ENG,MF,24.0,60000
11,Sander Berge,no NOR,MF,26.0,55000
12,Kenny Tete,nl NED,DF,28.0,50000
13,Antonee Robinson,us USA,DF,26.0,50000
14,Andreas Pereira,br BRA,MF,28.0,50000
15,Harrison Reed,eng ENG,MF,29.0,50000
16,Calvin Bassey,ng NGA,DF,24.0,45000
17,Ryan Sessegnon,eng ENG,"FW,DF",24.0,45000
18,Carlos Vinícius,br BRA,"MF,FW",29.0,40000
19,Harry Wilson,wls WAL,"FW,MF",27.0,35000
20,Tom Cairney,sct SCO,MF,33.0,30000
21,Jorge Cuenca,es ESP,DF,24.0,25000
22,Luke Harris,,AM,19.0,12500
23,Steven Benda,de GER,GK,25.0,10000
24,Rodrigo Muniz,br BRA,FW,23.0,7500
0,Axel Tuanzebe,cd COD,DF,26.0,40000
1,Arijanet Muric,xk KVX,GK,25.0,35000
2,Dara O'Shea,ie IRL,DF,25.0,35000
3,Ben Johnson,eng ENG,"DF,FW",24.0,30000
4,Sam Morsy,eg EGY,MF,32.0,30000
5,George Hirst,sct SCO,FW,25.0,27500
6,Jacob Greaves,eng ENG,DF,23.0,25000
7,Leif Davis,eng ENG,DF,24.0,25000
8,Jack Clarke,eng ENG,"FW,MF",23.0,25000
