,Pos,Age,Starts,Player,urls,scouting_url,match_logs,position_group
9,FW,34.69315068493151,19,Willian,https://fbref.com/en/players/8b9ebd03/Willian,https://fbref.com/en/players/8b9ebd03/scout/365_m1/Willian-Scouting-Report,https://fbref.com/en/players/8b9ebd03/matchlogs/2022-2023/summary/Willian-Match-Logs,Forwards
10,DF,26.273972602739725,16,Issa Diop,https://fbref.com/en/players/a712ca2b/Issa-Diop,https://fbref.com/en/players/a712ca2b/scout/365_m1/Issa-Diop-Scouting-Report,https://fbref.com/en/players/a712ca2b/matchlogs/2022-2023/summary/Issa-Diop-Match-Logs,Defender
11,DF,25.567123287671233,15,Tosin Adarabioyo,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,https://fbref.com/en/players/c81d773d/scout/365_m1/Tosin-Adarabioyo-Scouting-Report,https://fbref.com/en/players/c81d773d/matchlogs/2022-2023/summary/Tosin-Adarabioyo-Match-Logs,Defender
12,FW,31.10958904109589,9,Neeskens Kebano,https://fbref.com/en/players/18b999f4/Neeskens-Kebano,https://fbref.com/en/players/18b999f4/scout/365_m1/Neeskens-Kebano-Scouting-Report,https://fbref.com/en/players/18b999f4/matchlogs/2022-2023/summary/Neeskens-Kebano-Match-Logs,Forwards
13,FW,28.068493150684933,7,Carlos Vinicius,https://fbref.com/en/players/8b529245/Carlos-Vinicius,https://fbref.com/en/players/8b529245/scout/365_m1/Carlos-Vinicius-Scouting-Report,https://fbref.com/en/players/8b529245/matchlogs/2022-2023/summary/Carlos-Vinicius-Match-Logs,Forwards
14,FW,26.076712328767123,5,Harry Wilson,https://fbref.com/en/players/c6dc9ecd/Harry-Wilson,https://fbref.com/en/players/c6dc9ecd/scout/365_m1/Harry-Wilson-Scouting-Report,https://fbref.com/en/players/c6dc9ecd/matchlogs/2022-2023/summary/Harry-Wilson-Match-Logs,Forwards
15,FW,25.438356164383563,4,Daniel James,https://fbref.com/en/players/c931d9f9/Daniel-James,https://fbref.com/en/players/c931d9f9/scout/365_m1/Daniel-James-Scouting-Report,https://fbref.com/en/players/c931d9f9/matchlogs/2022-2023/summary/Daniel-James-Match-Logs,Forwards
16,FW,23.736986301369864,3,Manor Solomon,https://fbref.com/en/players/886f9aac/Manor-Solomon,https://fbref.com/en/players/886f9aac/scout/365_m1/Manor-Solomon-Scouting-Report,https://fbref.com/en/players/886f9aac/matchlogs/2022-2023/summary/Manor-Solomon-Match-Logs,Forwards
17,MF,26.682191780821917,2,Sasa Lukic,https://fbref.com/en/players/c6e8cf1f/Sasa-Lukic,https://fbref.com/en/players/c6e8cf1f/scout/365_m1/Sasa-Lukic-Scouting-Report,https://fbref.com/en/players/c6e8cf1f/matchlogs/2022-2023/summary/Sasa-Lukic-Match-Logs,Central Midfielders
18,GK,26.34794520547945,2,Marek Rodak,https://fbref.com/en/players/17acc2ed/Marek-Rodak,https://fbref.com/en/players/17acc2ed/scout/365_m1/Marek-Rodak-Scouting-Report,https://fbref.com/en/players/17acc2ed/matchlogs/2022-2023/summary/Marek-Rodak-Match-Logs,GK
19,DF,30.621917808219177,2,Layvin Kurzawa,https://fbref.com/en/players/41e7ef1c/Layvin-Kurzawa,https://fbref.com/en/players/41e7ef1c/scout/365_m1/Layvin-Kurzawa-Scouting-Report,https://fbref.com/en/players/41e7ef1c/matchlogs/2022-2023/summary/Layvin-Kurzawa-Match-Logs,Defender
20,MF,32.24383561643835,1,Tom Cairney,https://fbref.com/en/players/a8748947/Tom-Cairney,https://fbref.com/en/players/a8748947/scout/365_m1/Tom-Cairney-Scouting-Report,https://fbref.com/en/players/a8748947/matchlogs/2022-2023/summary/Tom-Cairney-Match-Logs,Central Midfielders
21,"DF,FW",28.0,1,Kevin Mbabu,https://fbref.com/en/players/493924a7/Kevin-Mbabu,https://fbref.com/en/players/493924a7/scout/365_m1/Kevin-Mbabu-Scouting-Report,https://fbref.com/en/players/493924a7/matchlogs/2022-2023/summary/Kevin-Mbabu-Match-Logs,Wing-Back
22,FW,20.4,1,Jay Stansfield,https://fbref.com/en/players/b2626673/Jay-Stansfield,https://fbref.com/en/players/b2626673/scout/365_m1/Jay-Stansfield-Scouting-Report,https://fbref.com/en/players/b2626673/matchlogs/2022-2023/summary/Jay-Stansfield-Match-Logs,Forwards
23,DF,31.632876712328766,1,Cedric Soares,https://fbref.com/en/players/839c14e1/Cedric-Soares,https://fbref.com/en/players/839c14e1/scout/365_m1/Cedric-Soares-Scouting-Report,https://fbref.com/en/players/839c14e1/matchlogs/2022-2023/summary/Cedric-Soares-Match-Logs,Defender
24,MF,28.350684931506848,1,Nathaniel Chalobah,https://fbref.com/en/players/422862ea/Nathaniel-Chalobah,https://fbref.com/en/players/422862ea/scout/365_m1/Nathaniel-Chalobah-Scouting-Report,https://fbref.com/en/players/422862ea/matchlogs/2022-2023/summary/Nathaniel-Chalobah-Match-Logs,Central Midfielders
25,MF,25.97808219178082,0,Josh Onomah,https://fbref.com/en/players/6612cd8c/Josh-Onomah,https://fbref.com/en/players/6612cd8c/scout/365_m1/Josh-Onomah-Scouting-Report,https://fbref.com/en/players/6612cd8c/matchlogs/2022-2023/summary/Josh-Onomah-Match-Logs,Central Midfielders
26,"MF,FW",18.043835616438358,0,Luke Harris,https://fbref.com/en/players/8c3078cd/Luke-Harris,https://fbref.com/en/players/8c3078cd/scout/365_m1/Luke-Harris-Scouting-Report,https://fbref.com/en/players/8c3078cd/matchlogs/2022-2023/summary/Luke-Harris-Match-Logs,Attacking Midfielders
27,"FW,DF",31.295890410958904,0,Shane Duffy,https://fbref.com/en/players/7314bba4/Shane-Duffy,https://fbref.com/en/players/7314bba4/scout/365_m1/Shane-Duffy-Scouting-Report,https://fbref.com/en/players/7314bba4/matchlogs/2022-2023/summary/Shane-Duffy-Match-Logs,Wing-Back
28,FW,22.75890410958904,0,Tyrese Francois,https://fbref.com/en/players/6722d4f0/Tyrese-Francois,https://fbref.com/en/players/6722d4f0/scout/365_m1/Tyrese-Francois-Scouting-Report,https://fbref.com/en/players/6722d4f0/matchlogs/2022-2023/summary/Tyrese-Francois-Match-Logs,Forwards
29,FW,21.517808219178082,0,Terry Ablade,https://fbref.com/en/players/d524dcd7/Terry-Ablade,https://fbref.com/en/players/d524dcd7/scout/365_m1/Terry-Ablade-Scouting-Report,https://fbref.com/en/players/d524dcd7/matchlogs/2022-2023/summary/Terry-Ablade-Match-Logs,Forwards
30,MF,20.0986301369863,0,Martial Godo,https://fbref.com/en/players/e0eea46f/Martial-Godo,https://fbref.com/en/players/e0eea46f/scout/365_m1/Martial-Godo-Scouting-Report,https://fbref.com/en/players/e0eea46f/matchlogs/2022-2023/summary/Martial-Godo-Match-Logs,Central Midfielders
31,FW,21.958904109589042,0,Rodrigo Muniz,https://fbref.com/en/players/a755db8c/Rodrigo-Muniz,https://fbref.com/en/players/a755db8c/scout/365_m1/Rodrigo-Muniz-Scouting-Report,https://fbref.com/en/players/a755db8c/matchlogs/2022-2023/summary/Rodrigo-Muniz-Match-Logs,Forwards
32,DF,19.06027397260274,0,Stefan Parkes,https://fbref.com/en/players/66b290f7/Stefan-Parkes,https://fbref.com/en/players/66b290f7/scout/365_m1/Stefan-Parkes-Scouting-Report,https://fbref.com/en/players/66b290f7/matchlogs/2022-2023/summary/Stefan-Parkes-Match-Logs,Defender
33,DF,18.58082191780822,0,Charlie Robinson,https://fbref.com/en/players/693a5e1a/Charlie-Robinson,https://fbref.com/en/players/693a5e1a/scout/365_m1/Charlie-Robinson-Scouting-Report,https://fbref.com/en/players/693a5e1a/matchlogs/2022-2023/summary/Charlie-Robinson-Match-Logs,Defender
34,MF,19.364383561643837,0,Kristian Sekularac,https://fbref.com/en/players/e20a28ce/Kristian-Sekularac,https://fbref.com/en/players/e20a28ce/scout/365_m1/Kristian-Sekularac-Scouting-Report,https://fbref.com/en/players/e20a28ce/matchlogs/2022-2023/summary/Kristian-Sekularac-Match-Logs,Central Midfielders
35,GK,21.443835616438356,0,George Wickens,https://fbref.com/en/players/eafaafa5/George-Wickens,https://fbref.com/en/players/eafaafa5/scout/365_m1/George-Wickens-Scouting-Report,https://fbref.com/en/players/eafaafa5/matchlogs/2022-2023/summary/George-Wickens-Match-Logs,GK
0,GK,29.671232876712327,30,Ederson,https://fbref.com/en/players/3bb7b8b4/Ederson,https://fbref.com/en/players/3bb7b8b4/scout/365_m1/Ederson-Scouting-Report,https://fbref.com/en/players/3bb7b8b4/matchlogs/2022-2023/summary/Ederson-Match-Logs,GK
1,MF,26.824657534246576,29,Rodri,https://fbref.com/en/players/6434f10d/Rodri,https://fbref.com/en/players/6434f10d/scout/365_m1/Rodri-Scouting-Report,https://fbref.com/en/players/6434f10d/matchlogs/2022-2023/summary/Rodri-Match-Logs,Central Midfielders
2,FW,22.745205479452054,27,Erling Haaland,https://fbref.com/en/players/1f44ac21/Erling-Haaland,https://fbref.com/en/players/1f44ac21/scout/365_m1/Erling-Haaland-Scouting-Report,https://fbref.com/en/players/1f44ac21/matchlogs/2022-2023/summary/Erling-Haaland-Match-Logs,Forwards
3,MF,31.80821917808219,25,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,https://fbref.com/en/players/e46012d4/scout/365_m1/Kevin-De-Bruyne-Scouting-Report,https://fbref.com/en/players/e46012d4/matchlogs/2022-2023/summary/Kevin-De-Bruyne-Match-Logs,Central Midfielders
4,MF,32.484931506849314,22,Ilkay Gundogan,https://fbref.com/en/players/819b3158/Ilkay-Gundogan,https://fbref.com/en/players/819b3158/scout/365_m1/Ilkay-Gundogan-Scouting-Report,https://fbref.com/en/players/819b3158/matchlogs/2022-2023/summary/Ilkay-Gundogan-Match-Logs,Central Midfielders
5,"MF,FW",28.69041095890411,21,Bernardo Silva,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva,https://fbref.com/en/players/3eb22ec9/scout/365_m1/Bernardo-Silva-Scouting-Report,https://fbref.com/en/players/3eb22ec9/matchlogs/2022-2023/summary/Bernardo-Silva-Match-Logs,Attacking Midfielders
6,"FW,MF",27.605479452054794,20,Jack Grealish,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish,https://fbref.com/en/players/b0b4fd3e/scout/365_m1/Jack-Grealish-Scouting-Report,https://fbref.com/en/players/b0b4fd3e/matchlogs/2022-2023/summary/Jack-Grealish-Match-Logs,Attacking Midfielders
7,DF,27.75068493150685,19,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,https://fbref.com/en/players/89ac64a6/scout/365_m1/Manuel-Akanji-Scouting-Report,https://fbref.com/en/players/89ac64a6/matchlogs/2022-2023/summary/Manuel-Akanji-Match-Logs,Defender
8,DF,28.164383561643834,19,Nathan Ake,https://fbref.com/en/players/eaeca114/Nathan-Ake,https://fbref.com/en/players/eaeca114/scout/365_m1/Nathan-Ake-Scouting-Report,https://fbref.com/en/players/eaeca114/matchlogs/2022-2023/summary/Nathan-Ake-Match-Logs,Defender
9,DF,25.931506849315067,18,Ruben Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias,https://fbref.com/en/players/31c69ef1/scout/365_m1/Ruben-Dias-Scouting-Report,https://fbref.com/en/players/31c69ef1/matchlogs/2022-2023/summary/Ruben-Dias-Match-Logs,Defender
10,"DF,MF",28.893150684931506,17,John Stones,https://fbref.com/en/players/5eecec3d/John-Stones,https://fbref.com/en/players/5eecec3d/scout/365_m1/John-Stones-Scouting-Report,https://fbref.com/en/players/5eecec3d/matchlogs/2022-2023/summary/John-Stones-Match-Logs,Defender
11,FW,22.893150684931506,17,Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden,https://fbref.com/en/players/ed1e53f3/scout/365_m1/Phil-Foden-Scouting-Report,https://fbref.com/en/players/ed1e53f3/matchlogs/2022-2023/summary/Phil-Foden-Match-Logs,Forwards
12,DF,28.895890410958906,16,Joao Cancelo,https://fbref.com/en/players/bd6351cd/Joao-Cancelo,https://fbref.com/en/players/bd6351cd/scout/365_m1/Joao-Cancelo-Scouting-Report,https://fbref.com/en/players/bd6351cd/matchlogs/2022-2023/summary/Joao-Cancelo-Match-Logs,Defender
13,"FW,MF",32.156164383561645,15,Riyad Mahrez,https://fbref.com/en/players/892d5bb1/Riyad-Mahrez,https://fbref.com/en/players/892d5bb1/scout/365_m1/Riyad-Mahrez-Scouting-Report,https://fbref.com/en/players/892d5bb1/matchlogs/2022-2023/summary/Riyad-Mahrez-Match-Logs,Attacking Midfielders
14,DF,32.893150684931506,15,Kyle Walker,https://fbref.com/en/players/86dd77d1/Kyle-Walker,https://fbref.com/en/players/86dd77d1/scout/365_m1/Kyle-Walker-Scouting-Report,https://fbref.com/en/players/86dd77d1/matchlogs/2022-2023/summary/Kyle-Walker-Match-Logs,Defender
15,"FW,MF",23.213698630136985,7,Julian Alvarez,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez,https://fbref.com/en/players/15ab5a2b/scout/365_m1/Julian-Alvarez-Scouting-Report,https://fbref.com/en/players/15ab5a2b/matchlogs/2022-2023/summary/Julian-Alvarez-Match-Logs,Attacking Midfielders
16,DF,28.895890410958906,7,Aymeric Laporte,https://fbref.com/en/players/119b9a8e/Aymeric-Laporte,https://fbref.com/en/players/119b9a8e/scout/365_m1/Aymeric-Laporte-Scouting-Report,https://fbref.com/en/players/119b9a8e/matchlogs/2022-2023/summary/Aymeric-Laporte-Match-Logs,Defender
17,"DF,MF",18.40821917808219,6,Rico Lewis,https://fbref.com/en/players/b57e066e/Rico-Lewis,https://fbref.com/en/players/b57e066e/scout/365_m1/Rico-Lewis-Scouting-Report,https://fbref.com/en/players/b57e066e/matchlogs/2022-2023/summary/Rico-Lewis-Match-Logs,Defender
18,"DF,MF",22.621917808219177,0,Sergio Gomez,https://fbref.com/en/players/01e5f06e/Sergio-Gomez,https://fbref.com/en/players/01e5f06e/scout/365_m1/Sergio-Gomez-Scouting-Report,https://fbref.com/en/players/01e5f06e/matchlogs/2022-2023/summary/Sergio-Gomez-Match-Logs,Defender
19,"FW,MF",20.953424657534246,0,Cole Palmer,https://fbref.com/en/players/dc7f8a28/Cole-Palmer,https://fbref.com/en/players/dc7f8a28/scout/365_m1/Cole-Palmer-Scouting-Report,https://fbref.com/en/players/dc7f8a28/matchlogs/2022-2023/summary/Cole-Palmer-Match-Logs,Attacking Midfielders
20,MF,27.378082191780823,0,Kalvin Phillips,https://fbref.com/en/players/4f565d77/Kalvin-Phillips,https://fbref.com/en/players/4f565d77/scout/365_m1/Kalvin-Phillips-Scouting-Report,https://fbref.com/en/players/4f565d77/matchlogs/2022-2023/summary/Kalvin-Phillips-Match-Logs,Central Midfielders
21,MF,20.279452054794522,0,Maximo Perrone,https://fbref.com/en/players/53552942/Maximo-Perrone,https://fbref.com/en/players/53552942/scout/365_m1/Maximo-Perrone-Scouting-Report,https://fbref.com/en/players/53552942/matchlogs/2022-2023/summary/Maximo-Perrone-Match-Logs,Central Midfielders
22,GK,37.62465753424657,0,Scott Carson,https://fbref.com/en/players/3e1550ee/Scott-Carson,https://fbref.com/en/players/3e1550ee/scout/365_m1/Scott-Carson-Scouting-Report,https://fbref.com/en/players/3e1550ee/matchlogs/2022-2023/summary/Scott-Carson-Match-Logs,GK
23,FW,20.19178082191781,0,Liam Delap,https://fbref.com/en/players/dd897ee7/Liam-Delap,https://fbref.com/en/players/dd897ee7/scout/365_m1/Liam-Delap-Scouting-Report,https://fbref.com/en/players/dd897ee7/matchlogs/2022-2023/summary/Liam-Delap-Match-Logs,Forwards
24,MF,22.73972602739726,0,Claudio Gomes,https://fbref.com/en/players/22f6ed2c/Claudio-Gomes,https://fbref.com/en/players/22f6ed2c/scout/365_m1/Claudio-Gomes-Scouting-Report,https://fbref.com/en/players/22f6ed2c/matchlogs/2022-2023/summary/Claudio-Gomes-Match-Logs,Central Midfielders
25,MF,20.846575342465755,0,Ben Knight,https://fbref.com/en/players/190163f3/Ben-Knight,https://fbref.com/en/players/190163f3/scout/365_m1/Ben-Knight-Scouting-Report,https://fbref.com/en/players/190163f3/matchlogs/2022-2023/summary/Ben-Knight-Match-Logs,Central Midfielders
26,DF,19.583561643835615,0,Luke Mbete Tatu,https://fbref.com/en/players/387e1d35/Luke-Mbete-Tatu,https://fbref.com/en/players/387e1d35/scout/365_m1/Luke-Mbete-Tatu-Scouting-Report,https://fbref.com/en/players/387e1d35/matchlogs/2022-2023/summary/Luke-Mbete-Tatu-Match-Logs,Defender
27,GK,30.44931506849315,0,Stefan Ortega,https://fbref.com/en/players/c1242d4e/Stefan-Ortega,https://fbref.com/en/players/c1242d4e/scout/365_m1/Stefan-Ortega-Scouting-Report,https://fbref.com/en/players/c1242d4e/matchlogs/2022-2023/summary/Stefan-Ortega-Match-Logs,GK
28,DF,20.312328767123287,0,Josh Wilson Esbrand,https://fbref.com/en/players/c19a2df1/Josh-Wilson-Esbrand,https://fbref.com/en/players/c19a2df1/scout/365_m1/Josh-Wilson-Esbrand-Scouting-Report,https://fbref.com/en/players/c19a2df1/matchlogs/2022-2023/summary/Josh-Wilson-Esbrand-Match-Logs,Defender
0,FW,29.726027397260275,31,Harry Kane,https://fbref.com/en/players/21a66f6a/Harry-Kane,https://fbref.com/en/players/21a66f6a/scout/365_m1/Harry-Kane-Scouting-Report,https://fbref.com/en/players/21a66f6a/matchlogs/2022-2023/summary/Harry-Kane-Match-Logs,Forwards
1,MF,27.704109589041096,30,Pierre Hojbjerg,https://fbref.com/en/players/8b04d6c1/Pierre-Hojbjerg,https://fbref.com/en/players/8b04d6c1/scout/365_m1/Pierre-Hojbjerg-Scouting-Report,https://fbref.com/en/players/8b04d6c1/matchlogs/2022-2023/summary/Pierre-Hojbjerg-Match-Logs,Central Midfielders
2,DF,29.257534246575343,28,Eric Dier,https://fbref.com/en/players/ac861941/Eric-Dier,https://fbref.com/en/players/ac861941/scout/365_m1/Eric-Dier-Scouting-Report,https://fbref.com/en/players/ac861941/matchlogs/2022-2023/summary/Eric-Dier-Match-Logs,Defender
3,"MF,FW",30.78082191780822,26,Son Heung min,https://fbref.com/en/players/92e7e919/Son-Heung-min,https://fbref.com/en/players/92e7e919/scout/365_m1/Son-Heung-min-Scouting-Report,https://fbref.com/en/players/92e7e919/matchlogs/2022-2023/summary/Son-Heung-min-Match-Logs,Attacking Midfielders
4,GK,36.31232876712329,24,Hugo Lloris,https://fbref.com/en/players/8f62b6ee/Hugo-Lloris,https://fbref.com/en/players/8f62b6ee/scout/365_m1/Hugo-Lloris-Scouting-Report,https://fbref.com/en/players/8f62b6ee/matchlogs/2022-2023/summary/Hugo-Lloris-Match-Logs,GK
5,DF,24.97808219178082,21,Cristian Romero,https://fbref.com/en/players/a3d94a58/Cristian-Romero,https://fbref.com/en/players/a3d94a58/scout/365_m1/Cristian-Romero-Scouting-Report,https://fbref.com/en/players/a3d94a58/matchlogs/2022-2023/summary/Cristian-Romero-Match-Logs,Defender
6,DF,29.986301369863014,21,Ben Davies,https://fbref.com/en/players/44781702/Ben-Davies,https://fbref.com/en/players/44781702/scout/365_m1/Ben-Davies-Scouting-Report,https://fbref.com/en/players/44781702/matchlogs/2022-2023/summary/Ben-Davies-Match-Logs,Defender
7,"DF,MF",34.20821917808219,20,Ivan Perisic,https://fbref.com/en/players/6fe90922/Ivan-Perisic,https://fbref.com/en/players/6fe90922/scout/365_m1/Ivan-Perisic-Scouting-Report,https://fbref.com/en/players/6fe90922/matchlogs/2022-2023/summary/Ivan-Perisic-Match-Logs,Defender
8,"MF,FW",22.983561643835618,19,Dejan Kulusevski,https://fbref.com/en/players/df3cda47/Dejan-Kulusevski,https://fbref.com/en/players/df3cda47/scout/365_m1/Dejan-Kulusevski-Scouting-Report,https://fbref.com/en/players/df3cda47/matchlogs/2022-2023/summary/Dejan-Kulusevski-Match-Logs,Attacking Midfielders
9,DF,27.838356164383562,19,Clement Lenglet,https://fbref.com/en/players/4f28a6ff/Clement-Lenglet,https://fbref.com/en/players/4f28a6ff/scout/365_m1/Clement-Lenglet-Scouting-Report,https://fbref.com/en/players/4f28a6ff/matchlogs/2022-2023/summary/Clement-Lenglet-Match-Logs,Defender
10,MF,25.816438356164383,17,Rodrigo Bentancur,https://fbref.com/en/players/3b8674e6/Rodrigo-Bentancur,https://fbref.com/en/players/3b8674e6/scout/365_m1/Rodrigo-Bentancur-Scouting-Report,https://fbref.com/en/players/3b8674e6/matchlogs/2022-2023/summary/Rodrigo-Bentancur-Match-Logs,Central Midfielders
11,DF,24.26027397260274,16,Emerson,https://fbref.com/en/players/df8b52a5/Emerson,https://fbref.com/en/players/df8b52a5/scout/365_m1/Emerson-Scouting-Report,https://fbref.com/en/players/df8b52a5/matchlogs/2022-2023/summary/Emerson-Match-Logs,Defender
12,MF,22.589041095890412,11,Oliver Skipp,https://fbref.com/en/players/6250083a/Oliver-Skipp,https://fbref.com/en/players/6250083a/scout/365_m1/Oliver-Skipp-Scouting-Report,https://fbref.com/en/players/6250083a/matchlogs/2022-2023/summary/Oliver-Skipp-Match-Logs,Central Midfielders
13,DF,22.92054794520548,9,Ryan Sessegnon,https://fbref.com/en/players/6aa3e78b/Ryan-Sessegnon,https://fbref.com/en/players/6aa3e78b/scout/365_m1/Ryan-Sessegnon-Scouting-Report,https://fbref.com/en/players/6aa3e78b/matchlogs/2022-2023/summary/Ryan-Sessegnon-Match-Logs,Defender
14,"MF,FW",25.942465753424656,9,Richarlison,https://fbref.com/en/players/fa031b34/Richarlison,https://fbref.com/en/players/fa031b34/scout/365_m1/Richarlison-Scouting-Report,https://fbref.com/en/players/fa031b34/matchlogs/2022-2023/summary/Richarlison-Match-Logs,Attacking Midfielders
15,MF,26.635616438356166,8,Yves Bissouma,https://fbref.com/en/players/6c203af0/Yves-Bissouma,https://fbref.com/en/players/6c203af0/scout/365_m1/Yves-Bissouma-Scouting-Report,https://fbref.com/en/players/6c203af0/matchlogs/2022-2023/summary/Yves-Bissouma-Match-Logs,Central Midfielders
16,"DF,MF",31.254794520547946,7,Matt Doherty,https://fbref.com/en/players/d557d734/Matt-Doherty,https://fbref.com/en/players/d557d734/scout/365_m1/Matt-Doherty-Scouting-Report,https://fbref.com/en/players/d557d734/matchlogs/2022-2023/summary/Matt-Doherty-Match-Logs,Defender
17,GK,35.09041095890411,7,Fraser Forster,https://fbref.com/en/players/c3e39f12/Fraser-Forster,https://fbref.com/en/players/c3e39f12/scout/365_m1/Fraser-Forster-Scouting-Report,https://fbref.com/en/players/c3e39f12/matchlogs/2022-2023/summary/Fraser-Forster-Match-Logs,GK
18,DF,23.5972602739726,7,Pedro Porro,https://fbref.com/en/players/27d0a506/Pedro-Porro,https://fbref.com/en/players/27d0a506/scout/365_m1/Pedro-Porro-Scouting-Report,https://fbref.com/en/players/27d0a506/matchlogs/2022-2023/summary/Pedro-Porro-Match-Logs,Defender
19,DF,26.852054794520548,6,Davinson Sanchez,https://fbref.com/en/players/da7b447d/Davinson-Sanchez,https://fbref.com/en/players/da7b447d/scout/365_m1/Davinson-Sanchez-Scouting-Report,https://fbref.com/en/players/da7b447d/matchlogs/2022-2023/summary/Davinson-Sanchez-Match-Logs,Defender
20,"MF,FW",22.183561643835617,2,Bryan,https://fbref.com/en/players/7b5ab7f2/Bryan,https://fbref.com/en/players/7b5ab7f2/scout/365_m1/Bryan-Scouting-Report,https://fbref.com/en/players/7b5ab7f2/matchlogs/2022-2023/summary/Bryan-Match-Logs,Attacking Midfielders
21,DF,24.052054794520547,2,Japhet Tanganga,https://fbref.com/en/players/e9971f2d/Japhet-Tanganga,https://fbref.com/en/players/e9971f2d/scout/365_m1/Japhet-Tanganga-Scouting-Report,https://fbref.com/en/players/e9971f2d/matchlogs/2022-2023/summary/Japhet-Tanganga-Match-Logs,Defender
22,MF,20.594520547945205,1,Pape Matar Sarr,https://fbref.com/en/players/feb5d972/Pape-Matar-Sarr,https://fbref.com/en/players/feb5d972/scout/365_m1/Pape-Matar-Sarr-Scouting-Report,https://fbref.com/en/players/feb5d972/matchlogs/2022-2023/summary/Pape-Matar-Sarr-Match-Logs,Central Midfielders
23,"MF,DF",30.682191780821917,0,Lucas Moura,https://fbref.com/en/players/2b622f01/Lucas-Moura,https://fbref.com/en/players/2b622f01/scout/365_m1/Lucas-Moura-Scouting-Report,https://fbref.com/en/players/2b622f01/matchlogs/2022-2023/summary/Lucas-Moura-Match-Logs,Defensive-Midfielders
24,"FW,MF",26.213698630136985,0,Arnaut Danjuma,https://fbref.com/en/players/f08490a6/Arnaut-Danjuma,https://fbref.com/en/players/f08490a6/scout/365_m1/Arnaut-Danjuma-Scouting-Report,https://fbref.com/en/players/f08490a6/matchlogs/2022-2023/summary/Arnaut-Danjuma-Match-Logs,Attacking Midfielders
25,"FW,DF",22.693150684931506,0,Djed Spence,https://fbref.com/en/players/9bc9a519/Djed-Spence,https://fbref.com/en/players/9bc9a519/scout/365_m1/Djed-Spence-Scouting-Report,https://fbref.com/en/players/9bc9a519/matchlogs/2022-2023/summary/Djed-Spence-Match-Logs,Wing-Back
26,MF,21.58082191780822,0,Harvey White,https://fbref.com/en/players/4d90ce8c/Harvey-White,https://fbref.com/en/players/4d90ce8c/scout/365_m1/Harvey-White-Scouting-Report,https://fbref.com/en/players/4d90ce8c/matchlogs/2022-2023/summary/Harvey-White-Match-Logs,Central Midfielders
27,MF,17.671232876712327,0,George Abbott,https://fbref.com/en/players/56628958/George-Abbott,https://fbref.com/en/players/56628958/scout/365_m1/George-Abbott-Scouting-Report,https://fbref.com/en/players/56628958/matchlogs/2022-2023/summary/George-Abbott-Match-Logs,Central Midfielders
28,GK,24.276712328767122,0,Brandon Austin,https://fbref.com/en/players/5e253986/Brandon-Austin,https://fbref.com/en/players/5e253986/scout/365_m1/Brandon-Austin-Scouting-Report,https://fbref.com/en/players/5e253986/matchlogs/2022-2023/summary/Brandon-Austin-Match-Logs,GK
29,MF,18.715068493150685,0,Alfie Devine,https://fbref.com/en/players/ba08056d/Alfie-Devine,https://fbref.com/en/players/ba08056d/scout/365_m1/Alfie-Devine-Scouting-Report,https://fbref.com/en/players/ba08056d/matchlogs/2022-2023/summary/Alfie-Devine-Match-Logs,Central Midfielders
30,MF,19.986301369863014,0,Romaine Mundle,https://fbref.com/en/players/597610cd/Romaine-Mundle,https://fbref.com/en/players/597610cd/scout/365_m1/Romaine-Mundle-Scouting-Report,https://fbref.com/en/players/597610cd/matchlogs/2022-2023/summary/Romaine-Mundle-Match-Logs,Central Midfielders
0,DF,27.372602739726027,29,Timothy Castagne,https://fbref.com/en/players/197640fd/Timothy-Castagne,https://fbref.com/en/players/197640fd/scout/365_m1/Timothy-Castagne-Scouting-Report,https://fbref.com/en/players/197640fd/matchlogs/2022-2023/summary/Timothy-Castagne-Match-Logs,Defender
1,"FW,MF",25.361643835616437,27,Harvey Barnes,https://fbref.com/en/players/3ea50f67/Harvey-Barnes,https://fbref.com/en/players/3ea50f67/scout/365_m1/Harvey-Barnes-Scouting-Report,https://fbref.com/en/players/3ea50f67/matchlogs/2022-2023/summary/Harvey-Barnes-Match-Logs,Attacking Midfielders
2,MF,24.61917808219178,27,Kiernan Dewsbury Hall,https://fbref.com/en/players/5c74c0f5/Kiernan-Dewsbury-Hall,https://fbref.com/en/players/5c74c0f5/scout/365_m1/Kiernan-Dewsbury-Hall-Scouting-Report,https://fbref.com/en/players/5c74c0f5/matchlogs/2022-2023/summary/Kiernan-Dewsbury-Hall-Match-Logs,Central Midfielders
3,GK,29.827397260273973,26,Danny Ward,https://fbref.com/en/players/d3ce0e89/Danny-Ward,https://fbref.com/en/players/d3ce0e89/scout/365_m1/Danny-Ward-Scouting-Report,https://fbref.com/en/players/d3ce0e89/matchlogs/2022-2023/summary/Danny-Ward-Match-Logs,GK
